#,Disease,Symptoms,Ayurvedic Treatment
1,Acne (Yauvan Pidika),"Pimples on face, Oily skin, Redness","Turmeric, Aloe Vera, Neem, Sandalwood, Triphala"
2,Chronic Fatigue Syndrome,"Persistent fatigue, Muscle weakness","Ashwagandha, Brahmi, Shatavari, Ginseng"
3,Rheumatoid Arthritis (Ama Vata),"Joint swelling, Pain, Stiffness","Guggul, Boswellia, Turmeric, Ginger, Ashwagandha"
4,Polycystic Ovary Syndrome,"Irregular periods, Weight gain","Shatavari, Ashwagandha, Turmeric, Triphala, Fenugreek"
5,GERD (Amlapitta),"Acid reflux, Heartburn","Triphala, Amla, Licorice, Aloe Vera, Guduchi"
6,Vitiligo (Shwitra),"White patches on skin, Itching","Bakuchi, Guggul, Neem, Turmeric, Aloe Vera"
7,Gallbladder Stones (Pitta Ashmari),"Upper abdominal pain, Vomiting","Trikatu, Triphala, Castor oil, Turmeric"
8,Urticaria (Sheetapitta),"Red rashes, Itching","Aloe Vera, Neem, Turmeric, Guduchi, Triphala"
9,Epistaxis (Nosebleed),"Blood from nostrils, Dizziness","Triphala, Brahmi, Turmeric, Coconut oil"
10,Kidney Stones (Vrukka Ashmari),"Severe back pain, Painful urination","Gokshura, Pashanbhed, Punarnava, Guggul, Triphala"
11,Migraine,"Severe headache, Sensitivity to light","Ashwagandha, Brahmi, Turmeric, Shankhapushpi"
12,Jaundice (Kamala),"Yellowing of skin, Dark urine","Kutki, Bhringraj, Amla, Triphala, Turmeric"
13,Common Cold (Pratishyaya),"Sneezing, Runny nose","Ginger, Tulsi, Turmeric, Honey, Triphala"
14,Asthma (Tamaka Shwasa),"Wheezing, Shortness of breath","Tulsi, Ashwagandha, Licorice, Trikatu, Ginger"
15,Diarrhea (Atisara),"Loose stools, Abdominal pain","Pomegranate, Bael, Amla, Ginger, Triphala"
16,Constipation (Vibandha),"Difficulty passing stools, Bloating","Triphala, Isabgol, Castor oil, Ashwagandha, Aloe Vera"
17,Sinusitis (Peenas),"Nasal congestion, Headache","Turmeric, Tulsi, Ginger, Triphala, Nasya oil"
18,Hypertension (Raktachap),"Headache, Fatigue, Shortness of breath","Arjuna, Ashwagandha, Brahmi, Guduchi, Triphala"
19,Bronchitis (Kasa),"Persistent cough, Chest discomfort","Tulsi, Ginger, Licorice, Triphala, Cinnamon"
20,Anemia (Panduroga),"Fatigue, Pale skin, Shortness of breath","Ashwagandha, Shatavari, Amla, Gokshura, Triphala"
21,Tuberculosis (Rajayakshma),"Persistent cough, Night sweats","Ashwagandha, Brahmi, Licorice, Guduchi, Triphala"
22,Diabetes (Madhumeha),"Increased thirst, Frequent urination","Bitter melon, Amla, Fenugreek, Gymnema, Turmeric"
23,Malaria (Plasmodium infection),"Fever, Chills, Sweating","Guduchi, Tulsi, Neem, Ashwagandha, Triphala"
24,Hypertension (Raktachap),"Headache, Swelling in legs","Arjuna, Brahmi, Triphala, Ashwagandha"
25,Stroke (Pakshaghata),"Numbness, Confusion, Dizziness","Brahmi, Ashwagandha, Guggul, Triphala, Bhringraj"
26,Arthritis (Vata Vata),"Joint pain, Stiffness, Swelling","Guggul, Ashwagandha, Turmeric, Boswellia, Triphala"
27,Influenza (Flu),"Fever, Cough, Muscle aches","Turmeric, Ginger, Honey, Tulsi, Triphala"
28,Pneumonia (Shwasa),"Fever, Shortness of breath, Chest pain","Ginger, Licorice, Tulsi, Triphala, Pippali"
29,Psoriasis (Kitibha),"Red patches on skin, Dry skin","Neem, Turmeric, Aloe Vera, Guggul, Triphala"
30,Epilepsy (Apasmara),"Seizures, Loss of consciousness","Brahmi, Shankhapushpi, Ashwagandha, Jatamansi"
31,Asthma (Tamaka Shwasa),"Difficulty breathing, Wheezing","Tulsi, Ashwagandha, Trikatu, Ginger, Licorice"
32,Gout (Vatarakta),"Joint pain, Swelling","Guggul, Triphala, Turmeric, Fenugreek, Ginger"
33,Leprosy (Kushtha),"Numbness, Discoloration of skin","Bakuchi, Triphala, Turmeric, Neem, Guggul"
34,Chickenpox (Varicella),"Red spots on skin, Itching","Neem, Turmeric, Aloe Vera, Triphala, Sandalwood"
35,Diphtheria (Kali Purna),"Sore throat, Fever, Difficulty swallowing","Triphala, Licorice, Honey, Turmeric, Ginger"
36,Hepatitis (Kamala),"Jaundice, Dark urine","Kutki, Bhringraj, Amla, Turmeric, Triphala"
37,Dysentery (Atisara),"Diarrhea, Abdominal pain","Bael, Pomegranate, Triphala, Ginger, Amla"
38,Tuberculosis (Rajayakshma),"Persistent cough, Night sweats","Ashwagandha, Brahmi, Licorice, Guduchi, Triphala"
